name,nationality,age,weight,dribbling,interceptions,heading_accuracy,reactions,balance,jumping,stamina,strength,composure,preferred_foot,international_reputation,work_rate,position,overall
d_kerschbaumer,austria,29,154,62,57,43,59,76,71,60,45,46,right,1,medium_medium,df,60
c_dunkley,england,26,187,45,66,72,60,51,74,69,81,48,right,1,medium_medium,df,70
eddy_silvestre,azerbaijan,25,176,69,63,53,60,60,78,75,87,58,right,1,medium_medium,dm,67
f_nouble,england,26,181,68,35,60,57,44,53,70,86,55,right,1,medium_low,st,64
s_brisley,england,28,170,22,60,69,58,53,74,66,70,62,right,1,low_high,df,63
k_galanopoulos,greece,20,159,70,70,51,70,77,56,74,55,61,right,1,medium_high,dm,71
ke_zhao,china_pr,29,154,52,57,49,63,78,77,79,69,56,left,1,high_medium,df,60
a_ndour,senegal,24,154,62,68,68,60,67,70,51,66,66,left,1,medium_medium,df,69
k_trippier,england,27,159,75,79,73,81,74,73,88,65,73,right,2,high_high,df,82
idris,senegal,33,176,64,75,75,74,50,65,92,81,66,right,1,medium_high,dm,75
g_lillard,united_states,22,194,29,60,63,49,37,69,70,75,47,right,1,medium_medium,df,63
m_vargas,argentina,21,146,78,28,39,63,87,67,86,48,74,right,1,high_medium,am,74
b_tozer,england,28,179,40,51,51,53,68,62,89,82,57,right,1,medium_high,df,57
j_asoro,sweden,19,165,73,18,56,59,78,56,58,58,52,right,1,high_medium,st,66
m_hamdaoui,netherlands,25,143,72,12,51,56,84,54,55,38,59,right,1,medium_medium,mf,67
m_a_a3_4atin,austria,21,152,60,61,40,55,71,50,39,46,55,right,1,medium_low,mf,54
m_rayman,saudi_arabia,21,143,48,52,52,49,82,62,55,68,41,right,1,medium_medium,df,59
e_lenjani,albania,28,143,67,62,54,65,68,76,78,55,59,left,2,high_medium,df,69
f_mattia,argentina,30,170,27,67,60,70,31,31,31,82,49,right,1,medium_medium,df,69
c_styles,england,18,132,57,60,41,56,93,58,63,46,65,right,1,medium_medium,mf,63
k_mc_intosh,united_states,24,174,16,30,13,49,50,66,44,57,58,right,1,medium_medium,gk,55
s_reese,denmark,24,174,42,60,67,59,58,73,67,72,50,left,1,medium_medium,df,64
k_baccus,australia,26,165,59,67,44,59,67,72,58,69,63,right,1,medium_medium,dm,64
joaqu_af_a_n,spain,19,150,64,23,44,56,78,51,63,49,55,left,1,medium_medium,mf,63
k_n_af_a_c_meth,hungary,29,163,72,37,60,64,71,59,69,62,59,right,1,medium_low,st,68
c_mc_williams,england,17,146,51,50,42,51,74,60,51,45,30,right,1,medium_medium,df,51
m_akba_a_a,turkey,28,179,58,63,70,65,50,59,68,79,65,left,1,low_high,df,67
zhang_lingfeng,china_pr,21,154,46,16,38,52,75,71,56,43,47,left,1,medium_low,mf,52
r_matarrita,costa_rica,23,154,71,66,59,64,75,74,76,64,59,left,1,medium_high,df,71
f_brorsson,sweden,22,179,53,74,61,64,56,87,56,83,65,right,1,medium_high,df,69
d_niwa,japan,32,159,35,66,68,62,59,71,51,69,47,right,1,medium_medium,df,66
p_becker,argentina,25,159,65,48,50,61,77,82,46,64,55,right,1,medium_low,mf,66
j_mendive,argentina,21,152,11,13,12,57,44,65,17,36,40,right,1,medium_medium,gk,60
f_espinoza,chile,20,150,55,33,57,54,65,61,64,59,48,right,1,medium_medium,st,56
w_meyiwa,south_africa,18,143,68,55,52,54,75,55,62,45,66,right,1,medium_medium,mf,63
j_smith,england,23,165,16,14,14,69,33,57,29,41,43,left,1,medium_medium,gk,68
o_ay_a_a_k,turkey,28,170,66,31,56,66,67,70,57,63,65,right,1,medium_low,mf,64
j_tutuarima,netherlands,25,148,62,64,43,66,85,69,72,45,51,left,1,high_high,df,66
f_valen_a_a_i_a_a,slovenia,26,179,66,24,41,57,74,46,61,75,64,left,1,medium_medium,am,62
juan_ibiza,spain,22,165,39,65,64,62,61,66,60,59,57,left,1,medium_medium,df,64
a_baby,senegal,29,176,71,56,73,67,62,80,81,78,66,left,1,medium_high,mf,71
s_okazaki,japan,32,172,77,48,73,83,71,91,74,65,69,right,2,high_high,st,75
t_lindenhahn,germany,27,174,67,57,51,64,87,76,92,63,59,right,1,medium_medium,df,63
david_batanero,spain,29,176,62,65,53,58,63,62,66,72,61,left,1,medium_medium,mf,69
elbis,brazil,25,168,63,60,45,54,69,56,64,57,42,left,1,medium_medium,df,62
h_al_raheb,saudi_arabia,34,139,57,35,66,60,76,81,77,69,64,right,1,high_medium,st,66
r_lopez_espin,united_states,22,201,41,44,61,45,39,68,60,83,44,right,1,medium_low,st,55
g_long,england,24,207,16,14,19,53,46,63,31,52,48,left,1,medium_medium,gk,67
s_s_af_a_rli,norway,22,148,61,54,43,54,73,40,67,46,58,left,1,medium_medium,mf,62
b_dia,france,21,165,53,22,65,56,53,64,54,59,48,right,1,medium_medium,st,61
m_kaastrup,denmark,17,154,55,14,26,43,66,82,71,52,44,left,1,high_medium,mf,55
e_schelotto,italy,29,170,74,71,64,74,65,70,83,69,66,right,1,high_medium,df,73
c_peters,england,19,165,48,20,50,50,62,69,65,57,50,right,1,high_medium,st,55
g_bojanich,argentina,33,187,37,72,72,58,33,73,73,90,68,right,1,low_high,df,69
m_heylen,belgium,24,181,36,62,70,58,48,51,65,78,61,right,1,medium_medium,df,66
m_dawson,england,34,168,17,67,75,67,50,66,50,78,70,right,2,medium_high,df,71
s_fort_af_a_s,cape_verde,26,187,30,61,75,53,47,54,66,86,59,right,1,low_medium,df,69
y_benrahou,morocco,19,137,72,31,46,53,68,54,39,46,61,left,1,medium_medium,am,63
tana,spain,27,161,78,15,28,70,88,46,69,53,74,right,1,high_medium,am,74
s_scuffet,italy,22,172,13,18,18,68,45,70,40,65,61,right,2,medium_medium,gk,72
y_asad,argentina,23,172,74,59,52,72,68,75,84,55,65,right,1,high_high,mf,73
b_berisha,kosovo,32,176,65,42,71,73,70,77,67,80,69,right,1,high_medium,st,70
zhang_chengdong,china_pr,29,190,70,56,75,70,69,83,80,78,62,right,1,high_medium,mf,69
m_palionis,lithuania,31,198,38,54,72,59,40,36,34,92,58,right,1,medium_medium,df,64
m_ardemagni,italy,31,183,59,15,71,69,60,92,82,92,71,right,1,high_medium,st,70
h_vetlesen,norway,18,146,63,64,49,61,83,80,74,55,63,right,1,medium_medium,dm,63
p_corral,chile,26,143,62,72,47,58,59,57,82,48,57,right,1,medium_medium,mf,68
b_baiye,belgium,17,165,57,62,57,62,72,64,64,75,55,right,1,low_high,dm,63
a_calisir,sweden,28,163,47,62,58,55,61,86,65,72,64,right,1,medium_medium,df,67
park_yi_young,korea_republic,24,157,57,59,55,64,64,68,68,66,53,left,1,medium_medium,df,65
s_surridge,england,19,170,56,18,64,52,59,66,68,80,58,right,1,high_medium,st,64
a_lassiter,costa_rica,23,154,64,18,53,56,69,73,46,56,55,left,1,high_low,st,62
d_a_a_ari_a_a,bosnia_herzegovina,21,154,62,47,45,61,69,57,65,54,62,right,1,low_low,mf,62
zeng_cheng,china_pr,31,183,13,27,11,72,44,55,41,37,62,right,2,medium_medium,gk,72
g_carvajal,colombia,18,159,51,56,62,53,65,56,65,56,49,right,1,medium_high,dm,57
t_majrashi,saudi_arabia,27,126,63,58,51,55,81,69,68,65,56,right,1,medium_medium,mf,62
r_lloyd,england,24,161,58,36,37,44,71,55,53,53,42,left,1,medium_medium,mf,57
t_kongolo,netherlands,24,154,67,76,74,70,62,91,71,79,73,left,2,medium_medium,df,78
a_jagie_a_a_s_a_a_so,poland,23,137,65,40,33,52,93,86,38,34,65,left,1,medium_medium,mf,63
b_boutobba,france,19,143,76,12,48,49,90,47,54,32,60,left,1,medium_low,mf,64
torrej_af_a3n,spain,32,194,48,72,71,70,44,55,58,81,76,right,1,medium_medium,df,72
n_j_af_a1_4llich,germany,28,154,61,63,46,64,70,69,72,64,62,right,1,medium_medium,mf,63
r_sattelmaier,germany,30,192,12,17,20,60,35,66,31,71,54,right,1,medium_medium,gk,62
m_parkhurst,united_states,34,159,59,66,68,69,64,58,73,67,73,right,1,medium_medium,df,70
laure_santeiro,brazil,30,139,82,31,44,80,88,44,67,48,77,left,1,medium_medium,am,81
j_jugas,czech_republic,26,194,43,66,74,67,46,69,68,83,58,right,1,medium_high,df,72
f_arkenberg,germany,22,176,57,58,51,59,55,68,68,71,50,right,1,medium_medium,df,62
a_beestin,england,20,165,59,35,47,57,67,54,58,63,56,right,1,medium_medium,st,58
h_harbaoui,tunisia,33,192,66,28,78,66,56,64,60,78,74,right,1,medium_low,st,73
a_klimczak,poland,20,150,58,50,42,55,62,59,50,43,42,left,1,medium_medium,df,53
j_maclaren,australia,24,168,67,52,62,77,82,83,81,70,72,right,1,high_high,st,70
r_vormer,netherlands,30,174,67,76,70,78,67,68,92,75,76,right,2,high_high,mf,78
t_schrammel,austria,30,165,61,62,51,56,73,83,69,70,55,left,1,medium_medium,mf,65
t_buitink,netherlands,18,150,60,13,53,48,71,67,52,58,59,right,1,medium_low,st,61
yeremi_valer_af_a3n,spain,21,165,62,58,54,59,62,57,66,63,58,left,1,medium_medium,df,61
j_mena,colombia,29,174,47,69,64,57,51,83,56,76,53,right,1,low_high,df,67
f_de_paul,chile,27,185,18,24,12,61,65,67,36,65,68,right,1,medium_medium,gk,70
d_drescher,austria,28,187,35,62,69,58,38,43,42,90,54,left,1,medium_medium,df,66
v_m_af_a1_4ller,austria,19,150,58,61,50,63,79,71,70,50,58,right,1,medium_medium,mf,61
barbosaldinho,brazil,30,181,22,77,61,75,52,73,68,73,63,right,1,medium_medium,df,70
g_della_bernardina,italy,19,176,42,57,60,55,59,70,52,69,51,right,1,medium_medium,df,59
l_cueto,germany,22,141,66,25,45,57,82,72,56,32,62,left,1,medium_medium,mf,61
m_bizot,netherlands,27,187,12,17,16,74,40,67,32,64,60,right,1,medium_medium,gk,75
a_samaris,greece,29,185,71,79,76,73,58,75,54,86,68,right,2,medium_high,dm,76
a_fein,germany,19,179,58,61,65,53,64,65,54,71,57,right,1,medium_medium,dm,64
c_coosemans,belgium,25,185,13,18,13,68,37,71,30,63,57,right,1,medium_medium,gk,70
g_robail,france,24,161,71,33,53,61,71,55,51,58,69,right,1,high_medium,mf,69
m_antonsson,sweden,27,176,69,29,69,70,60,68,83,71,65,right,1,high_medium,st,71
m_haakenstad,norway,24,161,59,58,54,55,60,67,91,73,55,right,1,high_medium,df,63
l_hendrie,england,23,159,56,60,57,62,70,61,76,61,54,right,1,medium_medium,df,63
d_odoi,belgium,30,159,71,68,61,68,75,85,66,64,77,right,1,high_medium,df,69
r_najjarine,australia,18,157,57,36,39,53,81,54,38,51,58,left,1,high_medium,am,52
n_mazzola,argentina,28,196,61,27,63,63,45,70,69,89,51,right,1,medium_medium,st,68
liu_zhenli,china_pr,33,163,12,23,15,54,49,58,44,47,62,right,1,medium_medium,gk,61
s_an_a_a_elkovi_a_a,slovenia,32,181,46,73,70,72,52,76,56,89,66,right,1,medium_medium,df,74
n_citro,italy,29,132,69,23,58,61,87,55,59,45,51,left,1,high_medium,st,68
k_omeruo,nigeria,24,179,53,68,71,72,56,88,74,82,70,right,1,medium_medium,df,72
s_pittman,scotland,25,159,63,57,67,60,74,64,77,59,62,right,1,high_medium,mf,62
j_stacey,england,22,137,64,59,59,56,68,52,75,63,55,right,1,high_medium,df,64
j_cullen,republic_of_ireland,22,154,67,51,50,66,78,55,75,54,66,right,1,high_high,dm,65
s_gronsveld,netherlands,22,132,62,63,47,59,80,73,66,54,54,right,1,medium_medium,df,62
o_zahustel,czech_republic,27,170,67,68,76,69,59,83,83,66,66,right,1,high_high,df,72
r_aliendro,argentina,27,150,72,71,72,70,75,81,81,67,66,right,1,medium_medium,dm,71
l_pisculichi,argentina,34,163,73,48,62,65,79,74,52,59,74,left,1,medium_low,am,73
i_bermingham,republic_of_ireland,29,161,57,52,58,54,58,81,87,60,55,left,1,high_high,df,62
m_willock,england,21,159,66,46,45,56,77,56,68,72,60,right,1,medium_medium,mf,62
n_samayoa,guatemala,22,174,28,55,61,48,50,73,57,69,38,right,1,medium_medium,df,58
m_ozga,poland,18,154,32,55,48,50,66,69,55,52,44,right,1,medium_medium,df,53
s_fri_af_a_j_af_a3nsson,iceland,22,168,62,55,58,53,71,60,82,68,60,right,1,medium_medium,mf,62
c_grant,england,23,168,63,57,58,56,74,63,69,65,61,left,1,medium_medium,mf,64
m_jevtovic,serbia,24,181,59,71,71,61,41,62,70,78,51,right,1,medium_high,dm,71
a_balzano,italy,32,163,59,67,55,64,83,67,80,77,71,right,1,high_high,df,69
c_dawson,england,28,187,55,76,81,70,50,83,81,77,68,right,2,medium_medium,df,76
hu_jinghang,china_pr,21,150,59,10,69,65,64,66,83,78,58,right,1,medium_medium,st,65
a_al_arishi,saudi_arabia,23,154,20,56,54,53,71,71,56,64,38,right,1,medium_medium,df,56
a_af_eoestb_af_a,norway,27,165,7,25,8,68,56,54,20,68,46,right,1,medium_medium,gk,65
s_dawson,republic_of_ireland,32,157,56,60,46,74,50,55,56,67,63,right,1,medium_medium,mf,62
j_hobbs,england,29,187,39,70,72,60,47,70,53,83,68,right,1,medium_high,df,69
r_lindgren,sweden,33,161,58,70,65,72,71,41,74,73,69,right,1,medium_medium,df,69
o_aydo_a_a_an,germany,21,148,68,27,48,55,78,58,52,43,54,right,1,high_medium,am,64
f_kath,germany,23,172,70,42,48,58,65,54,64,63,54,left,1,medium_medium,mf,65
k_brennan,republic_of_ireland,34,176,63,57,51,56,53,71,55,66,65,left,1,medium_medium,dm,60
s_galloway,australia,23,159,62,57,50,59,63,77,67,68,56,right,1,high_low,df,61
k_michael,nigeria,18,154,72,48,44,59,78,64,68,50,56,right,1,high_medium,mf,64
marlinito_dias,brazil,34,185,45,68,77,78,40,45,53,86,73,right,1,medium_medium,dm,70
d_luxbacher,austria,26,157,65,55,55,59,73,88,57,59,58,right,1,medium_medium,mf,64
w_cyprien,france,23,165,78,76,67,70,75,78,79,78,79,right,2,high_medium,mf,77
m_lansing,united_states,24,194,16,18,13,58,59,60,40,69,54,right,1,medium_medium,gk,57
r_cooney,england,18,150,53,58,43,55,76,61,52,62,54,right,1,medium_medium,df,58
o_ural,turkey,21,176,62,56,51,60,60,62,55,61,50,right,1,medium_medium,df,60
c_dagnall,england,32,165,60,33,57,61,77,73,82,74,67,right,1,high_high,st,64
l_wedl,austria,22,163,14,24,14,58,55,52,20,65,39,right,1,medium_medium,gk,59
j_yueill,united_states,21,165,70,58,51,73,65,50,77,59,76,right,1,medium_medium,mf,68
w_hoolahan,republic_of_ireland,36,157,74,35,43,66,88,33,52,53,73,left,2,medium_medium,am,73
r_vanegas,colombia,25,159,70,24,54,61,76,78,73,68,64,right,1,high_medium,mf,66
x_chavalerin,france,27,152,63,73,48,64,74,30,88,54,63,left,1,medium_medium,dm,71
j_wallens,colombia,25,165,13,22,15,50,26,47,27,78,38,right,1,medium_medium,gk,60
s_m_bia,cameroon,32,181,65,71,79,66,70,73,78,83,70,right,2,medium_high,dm,74
j_villarreal,united_states,24,176,73,39,51,61,81,78,55,53,66,left,1,high_medium,st,66
t_m_af_a1_4ller,germany,23,174,31,64,63,59,53,72,64,75,63,right,1,medium_medium,df,65
a_morgan,canada,27,165,60,59,52,57,69,67,71,60,56,left,1,high_medium,df,64
s_sy,france,19,152,59,51,53,56,66,61,64,47,48,left,1,medium_medium,df,59
carlinhos,brazil,23,157,74,25,56,62,75,45,74,70,62,right,1,high_medium,st,68
a_castro,mexico,31,148,59,64,60,67,67,73,70,73,65,right,1,medium_medium,dm,65
t_noda,japan,20,157,55,42,48,47,68,63,60,58,40,right,1,medium_medium,mf,52
r_wilmots,belgium,21,168,56,47,57,52,67,64,71,64,52,right,1,medium_medium,mf,58
h_hyseni,germany,25,194,57,23,63,48,41,69,62,86,57,right,1,medium_medium,st,58
j_kurti_a_a,slovenia,29,194,71,75,71,74,62,67,75,84,75,right,2,high_medium,mf,75
m_lestienne,belgium,26,139,79,35,47,70,84,73,83,31,71,left,1,high_medium,mf,75
l_krej_a_a_af_a,czech_republic,25,150,79,45,40,70,79,80,73,47,78,left,2,high_medium,am,75
d_butterworth,england,18,152,50,27,51,68,78,61,74,39,45,right,1,medium_medium,st,55
h_kon_af_a_c,ivory_coast,30,165,58,45,45,62,81,71,66,82,60,right,1,high_medium,am,59
e_velasco,colombia,26,172,59,68,63,55,66,70,87,78,45,left,1,medium_medium,df,68
y_soma,japan,21,146,56,18,56,61,82,70,57,41,57,right,1,medium_low,st,57
diego_aguirre,spain,27,141,69,49,39,60,77,70,62,40,60,left,1,medium_medium,mf,67
o_colley,gambia,25,192,42,68,78,71,44,65,79,87,68,left,1,medium_high,df,76
wei_zhen,china_pr,21,172,34,53,51,49,49,62,50,71,48,right,1,medium_medium,df,56
s_harrison,england,20,150,61,14,57,59,70,65,63,62,52,left,1,high_medium,st,61
thiago_martins,brazil,23,168,52,64,69,55,58,85,59,69,50,right,1,medium_medium,df,68
a_johansson,sweden,36,159,57,76,60,71,57,76,57,76,77,right,1,medium_medium,df,72
w_d_af_a_az,colombia,40,168,38,57,71,56,67,83,31,72,55,right,1,low_medium,df,63
g_viscarra,bolivia,25,176,8,7,10,51,27,66,28,60,41,right,1,medium_medium,gk,66
e_breivik,norway,18,165,49,45,53,53,59,59,52,66,43,right,1,medium_medium,dm,54
j_strau_af_a,germany,22,161,61,58,46,62,79,70,69,53,59,right,1,medium_medium,df,63
c_goddard,japan,21,143,59,27,45,43,79,47,61,32,46,left,1,medium_medium,am,55
j_bednarczyk,poland,19,154,68,21,37,48,64,37,47,46,55,left,1,medium_medium,mf,59
lucas_piazon,brazil,24,161,72,31,53,70,69,39,66,55,79,right,1,medium_medium,am,72
lim_jong_eun,korea_republic,28,194,58,63,76,58,34,33,54,86,61,right,1,medium_high,df,64
k_boli,france,27,168,34,75,66,67,59,67,72,80,58,right,1,medium_high,df,71
t_van_weert,netherlands,28,161,58,20,69,64,65,86,71,66,67,right,1,high_medium,st,69
d_stroh_engel,germany,32,207,51,29,72,63,32,34,62,90,68,right,1,medium_medium,st,64
b_garuccio,australia,23,154,68,63,46,62,77,64,69,60,62,left,1,high_medium,df,65
alem_af_a_o,brazil,31,165,38,65,66,65,33,65,65,81,62,right,1,medium_high,df,67
igor,brazil,20,185,38,58,57,53,66,70,68,80,62,left,1,medium_medium,df,64
n_tenaglia,argentina,22,157,59,57,54,57,58,60,49,56,48,right,1,medium_medium,df,59
carvajal,spain,26,161,76,83,70,82,79,76,84,74,77,right,3,high_high,df,84
j_varela,argentina,21,176,29,65,58,56,40,75,65,72,46,right,1,medium_medium,df,64
a_davies,canada,17,159,76,52,51,65,76,72,76,69,71,left,1,high_high,mf,72
b_servania,united_states,19,161,51,21,44,48,69,49,40,55,58,right,1,medium_medium,am,53
d_boldor,romania,23,176,46,63,66,56,45,65,46,81,55,left,1,medium_medium,df,65
a_adomah,ghana,30,163,74,61,51,71,62,66,74,68,73,right,1,medium_medium,mf,75
s_bougrine,morocco,21,150,63,59,54,57,54,64,67,61,54,right,1,medium_medium,mf,60
d_van_bruggen,netherlands,22,179,42,63,59,64,70,76,69,75,65,right,1,medium_medium,df,66
m_fraga,mexico,30,183,11,13,15,62,56,74,35,78,51,right,1,medium_medium,gk,71
c_greger,germany,21,181,28,60,69,61,43,74,59,83,50,left,1,medium_medium,df,64
o_tannane,morocco,24,176,79,33,48,69,73,63,66,71,66,left,1,medium_medium,st,74
p_kalambayi,england,18,154,24,51,49,41,54,70,62,77,39,right,1,medium_medium,df,54
d_gonz_af_a_lez,argentina,30,172,71,75,64,77,60,69,93,79,76,right,1,medium_high,mf,76
af_a_lvaro_garc_af_a_a,spain,25,130,71,22,57,78,94,87,70,34,64,left,1,medium_medium,mf,74
v_mannone,italy,30,176,15,16,14,70,44,75,31,67,57,right,1,medium_medium,gk,70
af_a_lex_l_af_a3pez,spain,24,165,64,23,70,62,73,64,62,77,62,left,1,high_medium,st,66
s_otsuki,japan,29,161,59,36,59,63,63,66,69,72,52,left,1,high_low,st,62
m_hauptmann,germany,18,148,53,23,42,50,89,63,51,45,55,right,1,medium_medium,mf,55
y_thermann,germany,24,150,60,62,48,70,83,81,87,62,64,right,1,medium_medium,df,63
willian_rocha,brazil,29,183,67,68,70,66,57,60,62,81,69,left,1,medium_medium,df,69
y_kobayashi,japan,32,159,46,62,52,62,69,71,73,64,67,right,1,medium_medium,df,62
de_gea,spain,27,168,18,30,21,90,43,67,43,64,68,right,4,medium_medium,gk,91
a_mc_govern,republic_of_ireland,19,176,41,48,51,42,55,55,66,69,37,left,1,medium_medium,df,51
k_gipson,germany,22,152,57,56,58,55,72,82,62,61,46,right,1,high_medium,df,61
m_miki_a_a,croatia,38,150,71,56,39,63,67,48,54,61,60,right,1,high_medium,mf,66
e_rol_af_a3n,argentina,23,163,57,67,58,67,68,71,68,65,67,right,1,low_medium,dm,70
h_al_ruwaili,saudi_arabia,23,154,32,51,50,50,68,65,57,64,45,right,1,medium_medium,df,53
p_franco,colombia,27,161,63,73,70,67,77,69,73,71,69,right,1,low_high,df,70
jo_yong_jae,korea_republic,20,150,63,21,37,45,38,64,52,49,50,right,1,high_low,am,56
g_pizarro,argentina,28,163,70,80,68,72,44,74,89,80,77,right,1,medium_high,dm,79
d_su_af_a_rez,uruguay,30,150,62,75,68,72,73,79,83,73,65,right,1,high_medium,df,77
a_mannus,northern_ireland,36,203,13,17,11,56,61,56,30,64,65,right,1,medium_medium,gk,65
n_petric,serbia,27,183,13,15,11,47,28,32,25,62,41,right,1,medium_medium,gk,60
o_mart_af_a_nez,paraguay,32,157,71,60,51,70,83,70,78,68,72,right,1,medium_low,mf,74
a_mena,ecuador,30,148,72,43,65,72,86,43,79,42,70,left,1,medium_medium,am,72
s_palombi,italy,22,165,60,40,68,65,59,59,66,71,55,right,1,high_low,st,67
b_youssouf,comoros,24,157,58,66,61,64,74,70,68,57,62,right,1,high_medium,df,65
j_fortes,cape_verde,29,165,61,68,63,64,65,82,75,75,62,right,1,medium_medium,df,67
juande,spain,31,165,58,67,52,58,49,64,74,72,58,right,1,medium_medium,dm,67
y_de_winter,belgium,31,181,18,22,12,59,42,60,37,64,52,right,1,medium_medium,gk,63
t_akindele,canada,26,174,64,18,64,60,63,69,60,76,62,right,1,high_low,st,66
pedro_pereira,portugal,20,159,65,67,56,66,74,72,68,57,70,right,1,high_medium,df,69
a_gianniotis,greece,25,187,14,10,20,70,25,73,29,61,57,right,1,medium_medium,gk,74
s_mc_mann,scotland,21,154,60,56,56,55,55,57,71,64,39,right,1,medium_medium,df,58
p_plewka,poland,18,154,49,38,45,48,76,53,49,47,60,right,1,medium_medium,dm,54
d_raum,germany,20,165,67,24,39,55,74,58,69,59,53,left,1,medium_medium,mf,66
c_auzqui,argentina,27,163,67,42,77,65,70,82,72,71,64,right,1,high_low,mf,69
t_lawrence,wales,24,165,76,22,56,67,74,60,73,58,70,right,1,medium_low,mf,72
e_amenyido,germany,20,165,58,33,58,49,69,82,80,73,51,right,1,high_medium,st,60
p_hurtado,peru,27,159,75,45,72,70,73,80,65,59,72,right,1,medium_low,am,75
m_agu,nigeria,25,170,64,76,65,71,61,82,86,76,60,right,1,medium_high,dm,75
j_baldwin,england,25,154,44,59,54,63,65,75,77,76,71,right,1,medium_high,df,66
j_van_den_bergh,germany,31,165,61,67,59,65,65,72,73,72,66,left,1,medium_medium,df,68
l_chambers,england,32,192,45,64,70,64,60,75,77,78,55,right,1,medium_high,df,69
r_m_bolhi,algeria,32,176,10,17,12,67,56,78,44,75,64,right,1,medium_medium,gk,68
l_desmond,republic_of_ireland,23,165,60,54,58,54,53,65,71,68,56,left,1,low_high,df,58
a_barberis,italy,24,159,62,75,38,70,70,67,81,53,61,right,1,high_high,mf,69
s_vegas,chile,21,176,61,70,67,66,50,87,75,78,69,left,1,medium_medium,df,69
diogo_santos,portugal,33,185,49,65,60,60,42,57,72,82,56,right,1,medium_high,dm,66
k_ram_af_a_rez,uruguay,24,161,68,33,42,64,67,68,67,48,65,left,1,medium_medium,am,64
p_schobesberger,austria,24,141,66,47,52,59,70,86,69,64,62,right,1,high_medium,mf,69
marc_vito,spain,21,176,7,6,11,51,37,40,22,33,39,right,1,medium_medium,gk,56
j_buitrago,colombia,25,154,55,64,43,66,72,61,48,56,58,right,1,medium_medium,dm,63
r_murawski,poland,24,150,67,63,60,61,78,87,94,62,67,right,1,medium_high,mf,69
n_af_aorio,angola,23,161,70,63,57,64,76,80,72,71,70,left,1,high_medium,df,69
f_helander,sweden,25,185,52,77,74,68,54,68,63,83,63,left,1,medium_high,df,75
o_skipp,england,17,154,57,61,51,60,61,61,74,61,46,right,1,medium_high,dm,64
t_domgjoni,switzerland,19,163,57,57,58,62,69,60,75,60,58,right,1,medium_medium,mf,60
oriol_romeu,spain,26,183,59,80,67,72,59,65,75,82,72,right,2,medium_high,dm,78
r_oshima,japan,25,141,70,70,34,73,86,75,80,54,73,right,1,medium_medium,dm,71
s_vittor,argentina,29,190,66,67,75,69,37,48,73,86,61,right,1,medium_high,df,72
d_mc_gowan,australia,26,176,53,68,70,64,62,76,76,78,67,right,1,medium_high,df,67
g_poluzzi,italy,30,163,12,8,14,46,28,58,21,38,49,right,1,medium_medium,gk,57
j_j_af_a_rgensen,norway,29,168,56,66,57,64,72,85,79,82,67,right,1,low_high,df,67
j_husband,england,24,143,64,62,54,56,67,60,73,61,56,left,1,high_medium,df,65
a_preciado,ecuador,23,157,73,37,71,66,65,58,71,70,61,left,1,high_low,am,70
vitor_costa,brazil,24,163,63,62,55,67,67,63,77,63,57,left,1,high_medium,df,68
c_riveros,paraguay,35,163,69,65,70,72,70,65,75,62,80,right,1,medium_medium,am,76
ad_af_a_o_salvadaldo,brazil,34,152,77,30,61,61,84,66,55,49,58,left,1,medium_medium,st,68
j_stevens,england,20,170,12,20,16,48,55,55,32,62,32,right,1,medium_medium,gk,52
c_rizzuto,germany,26,161,64,62,40,65,88,76,85,66,59,right,1,high_medium,df,69
af_a_lex_mula,spain,21,141,72,41,48,63,71,68,63,66,59,right,1,high_medium,mf,69
p_wszo_a_a_sek,poland,26,170,68,59,57,66,62,56,81,75,69,right,1,medium_high,mf,70
p_haglund,sweden,31,194,56,60,75,66,51,66,78,79,64,right,1,high_high,am,65
g_carrasco,argentina,21,163,61,71,51,60,71,70,73,65,59,right,1,medium_medium,df,66
wiliam_santinho,brazil,34,201,9,28,10,61,20,62,31,85,54,right,1,medium_medium,gk,71
p_gori,italy,38,183,16,26,14,67,31,51,41,54,47,right,1,medium_medium,gk,63
d_brooks,wales,20,137,77,34,40,72,79,59,70,45,76,left,1,medium_medium,mf,73
f_stritzel,germany,24,203,10,10,14,56,28,45,27,71,29,right,1,medium_medium,gk,62
l_greco,italy,31,165,58,73,62,72,69,72,83,61,71,left,2,medium_medium,mf,68
a_al_salem,saudi_arabia,25,163,66,54,58,61,54,69,65,73,60,right,1,medium_medium,am,66
m_maphangule,south_africa,26,176,55,26,80,57,87,75,69,75,52,right,1,medium_medium,st,62
n_knothe,germany,19,179,34,55,59,53,58,65,55,66,46,right,1,medium_medium,df,60
a_youga,central_african_rep,25,183,56,69,69,69,44,63,74,91,60,right,1,medium_high,dm,68
n_stephan,germany,17,185,12,9,15,33,38,55,23,58,24,right,1,medium_medium,gk,49
s_kalajdzic,austria,20,168,59,39,64,60,40,44,65,80,61,right,1,medium_medium,am,63
t_takagi,japan,27,141,64,26,49,60,83,47,75,55,59,right,1,high_medium,mf,66
b_corgnet,france,31,161,72,65,73,66,69,80,54,62,63,right,2,medium_medium,mf,72
s_bornauw,belgium,19,194,56,63,67,58,52,63,66,88,58,right,1,medium_medium,df,69
f_barcel_af_a3,uruguay,25,172,56,19,64,50,73,84,34,61,52,right,1,medium_medium,st,62
